#x	y	crate	slot	channel
-23	1	1	10	0
-23	-1	2	10	0
-23	2	1	10	1
-23	-2	2	10	1
-23	3	1	10	2
-23	-3	2	10	2
-23	4	1	10	3
-23	-4	2	10	3
-23	5	1	10	4
-23	-5	2	10	4
-22	1	1	10	5
-22	-1	2	10	5
-22	2	1	10	6
-22	-2	2	10	6
-22	3	1	10	7
-22	-3	2	10	7
-22	4	1	10	8
-22	-4	2	10	8
-22	5	1	10	9
-22	-5	2	10	9
-21	1	1	10	10
-21	-1	2	10	10
-21	2	1	10	11
-21	-2	2	10	11
-21	3	1	10	12
-21	-3	2	10	12
-21	4	1	10	13
-21	-4	2	10	13
-21	5	1	10	14
-21	-5	2	10	14
-20	1	1	10	15
-20	-1	2	10	15
-20	2	1	13	0
-20	-2	2	13	0
-20	3	1	13	1
-20	-3	2	13	1
-20	4	1	13	2
-20	-4	2	13	2
-20	5	1	13	3
-20	-5	2	13	3
-19	1	1	13	4
-19	-1	2	13	4
-19	2	1	13	5
-19	-2	2	13	5
-19	3	1	13	6
-19	-3	2	13	6
-19	4	1	13	7
-19	-4	2	13	7
-19	5	1	13	8
-19	-5	2	13	8
-18	1	1	13	9
-18	-1	2	13	9
-18	2	1	13	10
-18	-2	2	13	10
-18	3	1	13	11
-18	-3	2	13	11
-18	4	1	13	12
-18	-4	2	13	12
-18	5	1	13	13
-18	-5	2	13	13
-17	1	1	13	14
-17	-1	2	13	14
-17	2	1	13	15
-17	-2	2	13	15
-17	3	1	9	0
-17	-3	2	9	0
-17	4	1	9	1
-17	-4	2	9	1
-17	5	1	9	2
-17	-5	2	9	2
-16	1	1	9	3
-16	-1	2	9	3
-16	2	1	9	4
-16	-2	2	9	4
-16	3	1	9	5
-16	-3	2	9	5
-16	4	1	9	6
-16	-4	2	9	6
-16	5	1	9	7
-16	-5	2	9	7
-15	1	1	9	8
-15	-1	2	9	8
-15	2	1	9	9
-15	-2	2	9	9
-15	3	1	9	10
-15	-3	2	9	10
-15	4	1	9	11
-15	-4	2	9	11
-15	5	1	9	12
-15	-5	2	9	12
-14	1	1	9	13
-14	-1	2	9	13
-14	2	1	9	14
-14	-2	2	9	14
-14	3	1	9	15
