#x	y	crate	slot	channel
-14	-3	2	9	15
-14	4	1	14	0
-14	-4	2	14	0
-14	5	1	14	1
-14	-5	2	14	1
-13	1	1	14	2
-13	-1	2	14	2
-13	2	1	14	3
-13	-2	2	14	3
-13	3	1	14	4
-13	-3	2	14	4
-13	4	1	14	5
-13	-4	2	14	5
-13	5	1	14	6
-13	-5	2	14	6
-12	1	1	14	7
-12	-1	2	14	7
-12	2	1	14	8
-12	-2	2	14	8
-12	3	1	14	9
-12	-3	2	14	9
-12	4	1	14	10
-12	-4	2	14	10
-12	5	1	14	11
-12	-5	2	14	11
-11	1	1	14	12
-11	-1	2	14	12
-11	2	1	14	13
-11	-2	2	14	13
-11	3	1	14	14
-11	-3	2	14	14
-11	4	1	14	15
-11	-4	2	14	15
-11	5	1	8	0
-11	-5	2	8	0
-10	2	1	8	1
-10	-2	2	8	1
-10	3	1	8	2
-10	-3	2	8	2
-10	4	1	8	3
-10	-4	2	8	3
-10	5	1	8	4
-10	-5	2	8	4
-9	2	1	8	5
-9	-2	2	8	5
-9	3	1	8	6
-9	-3	2	8	6
-9	4	1	8	7
-9	-4	2	8	7
-9	5	1	8	8
-9	-5	2	8	8
-8	2	1	8	9
-8	-2	2	8	9
-8	3	1	8	10
-8	-3	2	8	10
-8	4	1	8	11
-8	-4	2	8	11
-8	5	1	8	12
-8	-5	2	8	12
-7	2	1	8	13
-7	-2	2	8	13
-7	3	1	8	14
-7	-3	2	8	14
-7	4	1	8	15
-7	-4	2	8	15
-7	5	1	15	0
-7	-5	2	15	0
-6	2	1	15	1
-6	-2	2	15	1
-6	3	1	15	2
-6	-3	2	15	2
-6	4	1	15	3
-6	-4	2	15	3
-6	5	1	15	4
-6	-5	2	15	4
-5	2	1	15	5
-5	-2	2	15	5
-5	3	1	15	6
-5	-3	2	15	6
-5	4	1	15	7
-5	-4	2	15	7
-5	5	1	15	8
-5	-5	2	15	8
-4	2	1	15	9
-4	-2	2	15	9
-4	3	1	15	10
-4	-3	2	15	10
-4	4	1	15	11
-4	-4	2	15	11
-4	5	1	15	12
-4	-5	2	15	12
-3	2	1	15	13
-3	-2	2	15	13
-3	3	1	15	14
-3	-3	2	15	14
-3	4	1	15	15
-3	-4	2	15	15
-3	5	1	7	0
-3	-5	2	7	0
-2	2	1	7	1
-2	-2	2	7	1
-2	3	1	7	2
-2	-3	2	7	2
-2	4	1	7	3
-2	-4	2	7	3
-2	5	1	7	4
-2	-5	2	7	4
-1	1	1	7	5
-1	-1	2	7	5
-1	2	1	7	6
-1	-2	2	7	6
-1	3	1	7	7
-1	-3	2	7	7
-1	4	1	7	8
-1	-4	2	7	8
-1	5	1	7	9
-1	-5	2	7	9
23	1	1	7	10
1	-1	2	7	10
23	2	1	7	11
1	-2	2	7	11
23	3	1	7	12
1	-3	2	7	12
23	4	1	7	13
1	-4	2	7	13
23	5	1	7	14
1	-5	2	7	14
22	1	1	7	15
2	-1	2	7	15
22	2	1	16	0
2	-2	2	16	0
22	3	1	16	1
2	-3	2	16	1
22	4	1	16	2
2	-4	2	16	2
22	5	1	16	3
2	-5	2	16	3
21	1	1	16	4
3	-1	2	16	4
21	2	1	16	5
3	-2	2	16	5
21	3	1	16	6
3	-3	2	16	6
21	4	1	16	7
3	-4	2	16	7
21	5	1	16	8
3	-5	2	16	8
20	1	1	16	9
4	-1	2	16	9
20	2	1	16	10
4	-2	2	16	10
20	3	1	16	11
4	-3	2	16	11
20	4	1	16	12
4	-4	2	16	12
20	5	1	16	13
4	-5	2	16	13
19	1	1	16	14
5	-1	2	16	14
19	2	1	16	15
5	-2	2	16	15
19	3	1	6	0
5	-3	2	6	0
19	4	1	6	1
5	-4	2	6	1
19	5	1	6	2
5	-5	2	6	2
18	1	1	6	3
6	-1	2	6	3
18	2	1	6	4
6	-2	2	6	4
18	3	1	6	5
6	-3	2	6	5
18	4	1	6	6
6	-4	2	6	6
18	5	1	6	7
6	-5	2	6	7
17	1	1	6	8
7	-1	2	6	8
17	2	1	6	9
7	-2	2	6	9
17	3	1	6	10
7	-3	2	6	10
17	4	1	6	11
7	-4	2	6	11
17	5	1	6	12
7	-5	2	6	12
16	1	1	6	13
8	-1	2	6	13
16	2	1	6	14
8	-2	2	6	14
16	3	1	6	15
8	-3	2	6	15
16	4	1	17	0
8	-4	2	17	0
16	5	1	17	1
8	-5	2	17	1
15	1	1	17	2
9	-1	2	17	2
15	2	1	17	3
9	-2	2	17	3
15	3	1	17	4
9	-3	2	17	4
15	4	1	17	5
9	-4	2	17	5
15	5	1	17	6
9	-5	2	17	6
14	1	1	17	7
10	-1	2	17	7
14	2	1	17	8
10	-2	2	17	8
14	3	1	17	9
10	-3	2	17	9
14	4	1	17	10
10	-4	2	17	10
14	5	1	17	11
10	-5	2	17	11
13	1	1	17	12
11	-1	2	17	12
13	2	1	17	13
11	-2	2	17	13
13	3	1	17	14
11	-3	2	17	14
13	4	1	17	15
11	-4	2	17	15
13	5	1	5	0
11	-5	2	5	0
12	1	1	5	1
12	-1	2	5	1
12	2	1	5	2
12	-2	2	5	2
12	3	1	5	3
12	-3	2	5	3
12	4	1	5	4
12	-4	2	5	4
12	5	1	5	5
12	-5	2	5	5
11	1	1	5	6
13	-1	2	5	6
11	2	1	5	7
13	-2	2	5	7
11	3	1	5	8
13	-3	2	5	8
11	4	1	5	9
13	-4	2	5	9
11	5	1	5	10
13	-5	2	5	10
10	1	1	5	11
14	-1	2	5	11
10	2	1	5	12
14	-2	2	5	12
10	3	1	5	13
14	-3	2	5	13
10	4	1	5	14
14	-4	2	5	14
10	5	1	5	15
14	-5	2	5	15
9	1	1	18	0
15	-1	2	18	0
9	2	1	18	1
15	-2	2	18	1
9	3	1	18	2
15	-3	2	18	2
9	4	1	18	3
15	-4	2	18	3
9	5	1	18	4
15	-5	2	18	4
8	1	1	18	5
16	-1	2	18	5
8	2	1	18	6
16	-2	2	18	6
8	3	1	18	7
16	-3	2	18	7
8	4	1	18	8
16	-4	2	18	8
8	5	1	18	9
16	-5	2	18	9
7	1	1	18	10
17	-1	2	18	10
7	2	1	18	11
17	-2	2	18	11
7	3	1	18	12
17	-3	2	18	12
7	4	1	18	13
17	-4	2	18	13
7	5	1	18	14
17	-5	2	18	14
6	1	1	18	15
18	-1	2	18	15
6	2	1	4	0
18	-2	2	4	0
6	3	1	4	1
18	-3	2	4	1
6	4	1	4	2
18	-4	2	4	2
6	5	1	4	3
18	-5	2	4	3
5	1	1	4	4
19	-1	2	4	4
5	2	1	4	5
19	-2	2	4	5
5	3	1	4	6
19	-3	2	4	6
5	4	1	4	7
19	-4	2	4	7
5	5	1	4	8
19	-5	2	4	8
4	1	1	4	9
20	-1	2	4	9
4	2	1	4	10
20	-2	2	4	10
4	3	1	4	11
20	-3	2	4	11
4	4	1	4	12
20	-4	2	4	12
4	5	1	4	13
20	-5	2	4	13
3	1	1	4	14
21	-1	2	4	14
3	2	1	4	15
21	-2	2	4	15
3	3	1	3	0
21	-3	2	19	0
3	4	1	3	1
21	-4	2	19	1
3	5	1	3	2
21	-5	2	19	2
2	1	1	3	3
22	-1	2	19	3
2	2	1	3	4
22	-2	2	19	4
2	3	1	3	5
22	-3	2	19	5
2	4	1	3	6
22	-4	2	19	6
2	5	1	3	7
22	-5	2	19	7
1	1	1	3	8
23	-1	2	19	8
1	2	1	3	9
23	-2	2	19	9
1	3	1	3	10
23	-3	2	19	10
1	4	1	3	11
23	-4	2	19	11
1	5	1	3	12
23	-5	2	19	12
