# x y crate slot channel
23 1 1 3 0
23 2 1 3 1
23 3 1 3 2
23 4 1 3 3
23 5 1 3 4
22 1 1 3 5
22 2 1 3 6
22 3 1 3 7
22 4 1 3 8
22 5 1 3 9
21 1 1 3 10
21 2 1 3 11
21 3 1 3 12
21 4 1 3 13
21 5 1 3 14
20 1 1 3 15
20 2 1 4 0
20 3 1 4 1
20 4 1 4 2
20 5 1 4 3
19 1 1 4 4
19 2 1 4 5
19 3 1 4 6
19 4 1 4 7
19 5 1 4 8
18 1 1 4 9
18 2 1 4 10
18 3 1 4 11
18 4 1 4 12
18 5 1 4 13
17 1 1 4 14
17 2 1 4 15
17 3 1 5 0
17 4 1 5 1
17 5 1 5 2
16 1 1 5 3
16 2 1 5 4
16 3 1 5 5
16 4 1 5 6
16 5 1 5 7
15 1 1 5 8
15 2 1 5 9
15 3 1 5 10
15 4 1 5 11
15 5 1 5 12
14 1 1 5 13
14 2 1 5 14
14 3 1 5 15
14 4 1 6 0
14 5 1 6 1
13 1 1 6 2
13 2 1 6 3
13 3 1 6 4
13 4 1 6 5
13 5 1 6 6
12 1 1 6 7
12 2 1 6 8
12 3 1 6 9
12 4 1 6 10
12 5 1 6 11
11 1 1 6 12
11 2 1 6 13
11 3 1 6 14
11 4 1 6 15
11 5 1 7 0
10 1 1 7 1
10 2 1 7 2
10 3 1 7 3
10 4 1 7 4
10 5 1 7 5
9 1 1 7 6
9 2 1 7 7
9 3 1 7 8
9 4 1 7 9
9 5 1 7 10
8 1 1 7 11
8 2 1 7 12
8 3 1 7 13
8 4 1 7 14
8 5 1 7 15
7 1 1 8 0
7 2 1 8 1
7 3 1 8 2
7 4 1 8 3
7 5 1 8 4
6 1 1 8 5
6 2 1 8 6
6 3 1 8 7
6 4 1 8 8
6 5 1 8 9
5 1 1 8 10
5 2 1 8 11
5 3 1 8 12
5 4 1 8 13
5 5 1 8 14
4 1 1 8 15
4 2 1 9 0
4 3 1 9 1
4 4 1 9 2
4 5 1 9 3
3 1 1 9 4
3 2 1 9 5
3 3 1 9 6
3 4 1 9 7
3 5 1 9 8
2 1 1 9 9
2 2 1 9 10
2 3 1 9 11
2 4 1 9 12
2 5 1 9 13
1 1 1 9 14
1 2 1 9 15
1 3 1 14 0
1 4 1 14 1
1 5 1 14 2
-1 1 1 14 3
-1 2 1 14 4
-1 3 1 14 5
-1 4 1 14 6
-1 5 1 14 7
-2 2 1 14 8
-2 3 1 14 9
-2 4 1 14 10
-2 5 1 14 11
-3 2 1 14 12
-3 3 1 14 13
-3 4 1 14 14
-3 5 1 14 15
-4 2 1 15 0
-4 3 1 15 1
-4 4 1 15 2
-4 5 1 15 3
-5 2 1 15 4
-5 3 1 15 5
-5 4 1 15 6
-5 5 1 15 7
-6 2 1 15 8
