# x y crate slot channel
-6 3 1 15 9
-6 4 1 15 10
-6 5 1 15 11
-7 2 1 15 12
-7 3 1 15 13
-7 4 1 15 14
-7 5 1 15 15
-8 2 1 16 0
-8 3 1 16 1
-8 4 1 16 2
-8 5 1 16 3
-9 2 1 16 4
-9 3 1 16 5
-9 4 1 16 6
-9 5 1 16 7
-10 2 1 16 8
-10 3 1 16 9
-10 4 1 16 10
-10 5 1 16 11
-11 1 1 16 12
-11 2 1 16 13
-11 3 1 16 14
-11 4 1 16 15
-11 5 1 17 0
-12 1 1 17 1
-12 2 1 17 2
-12 3 1 17 3
-12 4 1 17 4
-12 5 1 17 5
-13 1 1 17 6
-13 2 1 17 7
-13 3 1 17 8
-13 4 1 17 9
-13 5 1 17 10
-14 1 1 17 11
-14 2 1 17 12
-14 3 1 17 13
-14 4 1 17 14
-14 5 1 17 15
-15 1 1 18 0
-15 2 1 18 1
-15 3 1 18 2
-15 4 1 18 3
-15 5 1 18 4
-16 1 1 18 5
-16 2 1 18 6
-16 3 1 18 7
-16 4 1 18 8
-16 5 1 18 9
-17 1 1 18 10
-17 2 1 18 11
-17 3 1 18 12
-17 4 1 18 13
-17 5 1 18 14
-18 1 1 18 15
-18 2 1 19 0
-18 3 1 19 1
-18 4 1 19 2
-18 5 1 19 3
-19 1 1 19 4
-19 2 1 19 5
-19 3 1 19 6
-19 4 1 19 7
-19 5 1 19 8
-20 1 1 19 9
-20 2 1 19 10
-20 3 1 19 11
-20 4 1 19 12
-20 5 1 19 13
-21 1 1 19 14
-21 2 1 19 15
-21 3 1 20 0
-21 4 1 20 1
-21 5 1 20 2
-22 1 1 20 3
-22 2 1 20 4
-22 3 1 20 5
-22 4 1 20 6
-22 5 1 20 7
-23 1 1 20 8
-23 2 1 20 9
-23 3 1 20 10
-23 4 1 20 11
-23 5 1 20 12
23 -1 2 3 0
23 -2 2 3 1
23 -3 2 3 2
23 -4 2 3 3
23 -5 2 3 4
22 -1 2 3 5
22 -2 2 3 6
22 -3 2 3 7
22 -4 2 3 8
22 -5 2 3 9
21 -1 2 3 10
21 -2 2 3 11
21 -3 2 3 12
21 -4 2 3 13
21 -5 2 3 14
20 -1 2 3 15
20 -2 2 4 0
20 -3 2 4 1
20 -4 2 4 2
20 -5 2 4 3
19 -1 2 4 4
19 -2 2 4 5
19 -3 2 4 6
19 -4 2 4 7
19 -5 2 4 8
18 -1 2 4 9
18 -2 2 4 10
18 -3 2 4 11
18 -4 2 4 12
18 -5 2 4 13
17 -1 2 4 14
17 -2 2 4 15
17 -3 2 5 0
17 -4 2 5 1
17 -5 2 5 2
16 -1 2 5 3
16 -2 2 5 4
16 -3 2 5 5
16 -4 2 5 6
16 -5 2 5 7
15 -1 2 5 8
15 -2 2 5 9
15 -3 2 5 10
15 -4 2 5 11
15 -5 2 5 12
14 -1 2 5 13
14 -2 2 5 14
14 -3 2 5 15
14 -4 2 6 0
14 -5 2 6 1
13 -1 2 6 2
13 -2 2 6 3
13 -3 2 6 4
13 -4 2 6 5
13 -5 2 6 6
12 -1 2 6 7
12 -2 2 6 8
12 -3 2 6 9
12 -4 2 6 10
12 -5 2 6 11
11 -1 2 6 12
11 -2 2 6 13
11 -3 2 6 14
11 -4 2 6 15
11 -5 2 7 0
10 -1 2 7 1
10 -2 2 7 2
10 -3 2 7 3
10 -4 2 7 4
10 -5 2 7 5
9 -1 2 7 6
9 -2 2 7 7
9 -3 2 7 8
9 -4 2 7 9
9 -5 2 7 10
8 -1 2 7 11
8 -2 2 7 12
8 -3 2 7 13
8 -4 2 7 14
8 -5 2 7 15
7 -1 2 8 0
7 -2 2 8 1
7 -3 2 8 2
7 -4 2 8 3
7 -5 2 8 4
6 -1 2 8 5
6 -2 2 8 6
6 -3 2 8 7
6 -4 2 8 8
6 -5 2 8 9
5 -1 2 8 10
5 -2 2 8 11
5 -3 2 8 12
5 -4 2 8 13
5 -5 2 8 14
4 -1 2 8 15
4 -2 2 9 0
4 -3 2 9 1
4 -4 2 9 2
4 -5 2 9 3
3 -1 2 9 4
3 -2 2 9 5
3 -3 2 9 6
3 -4 2 9 7
3 -5 2 9 8
2 -1 2 9 9
2 -2 2 9 10
2 -3 2 9 11
2 -4 2 9 12
2 -5 2 9 13
1 -1 2 9 14
1 -2 2 9 15
1 -3 2 14 0
1 -4 2 14 1
1 -5 2 14 2
-1 -1 2 14 3
-1 -2 2 14 4
-1 -3 2 14 5
-1 -4 2 14 6
-1 -5 2 14 7
-2 -2 2 14 8
-2 -3 2 14 9
-2 -4 2 14 10
-2 -5 2 14 11
-3 -2 2 14 12
-3 -3 2 14 13
-3 -4 2 14 14
-3 -5 2 14 15
-4 -2 2 15 0
-4 -3 2 15 1
-4 -4 2 15 2
-4 -5 2 15 3
-5 -2 2 15 4
-5 -3 2 15 5
-5 -4 2 15 6
-5 -5 2 15 7
-6 -2 2 15 8
-6 -3 2 15 9
-6 -4 2 15 10
-6 -5 2 15 11
-7 -2 2 15 12
-7 -3 2 15 13
-7 -4 2 15 14
-7 -5 2 15 15
-8 -2 2 16 0
-8 -3 2 16 1
-8 -4 2 16 2
-8 -5 2 16 3
-9 -2 2 16 4
-9 -3 2 16 5
-9 -4 2 16 6
-9 -5 2 16 7
-10 -2 2 16 8
-10 -3 2 16 9
-10 -4 2 16 10
-10 -5 2 16 11
-11 -1 2 16 12
-11 -2 2 16 13
-11 -3 2 16 14
-11 -4 2 16 15
-11 -5 2 17 0
-12 -1 2 17 1
-12 -2 2 17 2
-12 -3 2 17 3
-12 -4 2 17 4
-12 -5 2 17 5
-13 -1 2 17 6
-13 -2 2 17 7
-13 -3 2 17 8
-13 -4 2 17 9
-13 -5 2 17 10
-14 -1 2 17 11
-14 -2 2 17 12
-14 -3 2 17 13
-14 -4 2 17 14
-14 -5 2 17 15
-15 -1 2 18 0
-15 -2 2 18 1
-15 -3 2 18 2
-15 -4 2 18 3
-15 -5 2 18 4
-16 -1 2 18 5
-16 -2 2 18 6
-16 -3 2 18 7
-16 -4 2 18 8
-16 -5 2 18 9
-17 -1 2 18 10
-17 -2 2 18 11
-17 -3 2 18 12
-17 -4 2 18 13
-17 -5 2 18 14
-18 -1 2 18 15
-18 -2 2 19 0
-18 -3 2 19 1
-18 -4 2 19 2
-18 -5 2 19 3
-19 -1 2 19 4
-19 -2 2 19 5
-19 -3 2 19 6
-19 -4 2 19 7
-19 -5 2 19 8
-20 -1 2 19 9
-20 -2 2 19 10
-20 -3 2 19 11
-20 -4 2 19 12
-20 -5 2 19 13
-21 -1 2 19 14
-21 -2 2 19 15
-21 -3 2 20 0
-21 -4 2 20 1
-21 -5 2 20 2
-22 -1 2 20 3
-22 -2 2 20 4
-22 -3 2 20 5
-22 -4 2 20 6
-22 -5 2 20 7
-23 -1 2 20 8
-23 -2 2 20 9
-23 -3 2 20 10
-23 -4 2 20 11
-23 -5 2 20 12
